Sentence	Meaning
More than 1000 Afghan troops fled into Tajikistan, as the Taliban continued to make gains in Afghanistan following the withdrawal of American forces.	미군 철수 이후 탈레반이 아프가니스탄에서 계속 이득을 취하자 1000명 이상의 아프간 병력이 타지키스탄으로 도망쳤습니다.
The government's security forces has been crumbling in the face of an onslaught from the Taliban.	정부의 보안군은 탈레반의 맹공격에 직면하여 무너져 왔습니다.
Boris Johnson, Britain's prime minister, signalled that the remaining corona virus restrictions in England would be lifted on July 19th, even though covid-19 cases rose by 53% in the past week.	보리스 존슨 영국 총리는 비록 지난 주 covid-19 환자가 53% 증가했음에도 불구하고 7월 19일에 영국에 남아 있는 코로나 바이러스 제한이 해제될 것이라고 예고했습니다.
"We must reconcile ourselves, sadly, to more deaths from covid," he said.	"우리는 슬프지만, covid로 인한 더 많은 죽음을 감수해야 합니다,"라고 그는 말했습니다.
It is the fourth abduction of students in Kaduna in six months and the eighth in the country this year.	이것은 카두나에서 6개월 만에 네 번째 납치이고 올해 전국에서 여덟 번째 납치입니다.
Consumer-price inflation in Turkey surged by 17.5% year on year in June, the highest rate since May 2019 and above the mark predicted by economists.	6월 터키 소비자물가 상승률은 전년 동기 대비 17.5% 상승했으며, 이는 2019년 5월 이후 가장 높은 수치이며 경제학자들이 예상한 수준을 상회하는 수치입니다.
The increase was driven in part by increased prices for home furnishings, food and drinks and hospitality as covid-19 restrictions eased.	이러한 증가는 covid-19 규제가 완화되면서 가정용 가구, 음식 및 음료, 숙박 가격이 향상되는 것에 어느 정도 영향을 받았습니다.
KLP has already sold off its holdings in the firms.	KLP는 이미 회사 지분을 매각했습니다.
China's internet regulator announced investigations into companies whose parents have listed in America, days after ordering that Didi Chuxing, a ride-haling firm, be removed from Chinese app stores.	중국 인터넷 규제 당국은 승차공유서비스 회사인 Didi Chuxing을 중국 앱 스토어에서 제거하도록 명령한 지 며칠 만에 모기업이 미국에 상장된 기업들에 대한 조사를 발표했습니다.
America's Defense Department said it was pulling the plug on a controversial cloud-computing contract.	미국 국방부는 논란이 되고 있는 클라우드-컴퓨팅 계약을 중단한다고 밝혔습니다.
He announced new measures, including encouraging the opening of clinics in workspaces.	그는 업무 공간에서의 진료소 개설을 장려하는 것을 포함한 새로운 조치들을 발표했습니다.
Jair Bolsonaro, Brazil's president, averted the threat of impeachment for now.	Jair Bolsonaro 브라질 대통령은 탄핵 위협을 일단은 피했습니다.
Arthur Lia, the speaker of the lower house, said there was nothing to warrant opening an investigation against him and argued that the process would destabilize the economy.	하원 의장인 Arthur Lia는 그에 대한 수사를 개시해야 할 이유가 없다고 말하면서 그 과정이 경제를 불안정하게 만들 것이라고 주장했습니다.
Prosecutors are investigating Mr Bolsonaro over all alleged irregularities in the government's procurement of covid-19 vaccines.	검찰은 Bolsonaro 씨를 상대로 알려진 모든 covid-19 백신 조달 비리에 대해 조사하고 있습니다.
Israel's parliament did not renew a controversial law that bars Palestinians from Gaza or the West Bank from obtaining citizenship or residency in Israel through marriage to Israeli citizens.	이스라엘 의회는 가자 지구(Gaza)나 요르단강 서안지구(West Bank)에서 온 팔레스타인인들이 이스라엘 시민과 결혼을 통해 이스라엘 시민권이나 거주권을 얻는 것을 금지하는 논란의 여지가 있는 법안을 갱신하지 않았습니다.
The vote angered Naftali Bennett, the new prime minister and a vocal ultranationalist, who needs to manage an ideologically diverse coalition.	이 투표는 이념적으로 다양한 연합을 관리해야 하는 초국가주의자인 Naftali Benett 신임 총리를 화나게 했습니다. 
"Police in Haiti said they killed four of the ""foreign-mercenaries"" who assassinated president Jovenel Moise, and captured two others."	아이티 경찰은 Jovenel Moise 대통령을 암살한 "외국인 용병" 4명을 사살하고 나머지 2명을 붙잡았다고 밝혔습니다.
The assassins were said to have identified themselves as American drug-enforcement agents.	암살범들은 자신들을 미국의 마약 단속 요원으로 밝힌 것으로 알려졌습니다.
World leaders condemned the attack.	세계 정상들은 그 공격을 비난했습니다.
Mr Zuma was convicted of contempt of court for refusing to give evidence in a corruption investigation.	Zuma씨는 부패수사에서 증거를 제시하기를 거부한 혐의로 법정 모욕죄를 선고받았습니다.
His daughter tweeted that he was in "high spirits" and had cracked a joke about Robben Island, the prison where Mr Zuma was once held with Nelson Mandela.	그의 딸은 트위터를 통해 그가 "매우 기분이 좋다"고 말했고 한때 Zuma씨가 넬슨 만델라와 함께 수감되었던 감옥인 Robben Island에 대해 농담을 던졌습니다.
Dozens of American states sued Google, arguing that its promotion of its own app store within its Android mobile-operating system violates antitrust law.	수십 개의 미국 주들은 구글이 구글의 Android 모바일-운영 체제 내에서 구글의 자체 앱 스토어를 홍보하는 것은 독점 금지법을 위반한다고 주장하며 구글을 고소했습니다.
The lawsuit, filed in a federal court in California, marks the third attempt by states' attorneys-general to rein in the technological giant.	California 연방법원에 제출된 이 소송은 거대 기술 회사를 통제하려는 주 검찰의 세 번째 시도입니다.
